Customer_id,Consumer complaint narrative
45,I had a prepaid card with Kikoff. They are showing an alleged {$6.00} pending balance on the account that is not mine. They have also reported my account as delinquent to the credit bureaus repeatedly because of this and have charged off my account since 2022. This has damaged my credit standing. Kikoff needs update this information to show a XXXX balance on this account and delete the alleged late notations and any reference to a chargeoff from my credit report immediately.
46,"Home Depot Credit Services sent me a letter dated XX/XX/XXXX notifying me of new cards being sent to my business. The cards never arrived. They have since told me they mailed the cards to an address that I removed from my account over 9 years ago in XXXX. An address that was my mailing address only for approximately 5 months. They are now trying to say that the wrong address is the physical location of my business and it is NOT. That was never the physical location of my business. I asked them for something in writing showing who changed my physical business location to that address and when. They refuse to do that. They can not answer why the last time they issued a new card that it was sent to my current and correct address in XXXX of XXXX. 
I simply want a copy of the written request on my company letterhead that they have told me it takes for them to change the physical location of my business. I never changed the physical location of my business to that address in Maryland. I want a copy of the written request on my company letterhead that made them change my physical location to that address because I never sent them such a written request."
47,"This company continues to harm the consumer by knowingly reporting fraudulent information to XXXX, when there in fact HAS NEVER BEEN A CONSENSUAL CONTRACT BETWEEN CONSUMER AND THIS COMPANY. I am requesting debt VALIDATION as this company has violated the consumer in numerous ways, and XXXX accepts these fraudulent reports as accurate despite the multiple disputes."
48,"On or about XX/XX/XXXX I noticed fraudulent charges on my husband, XXXX XXXX, debit card that dated back approximately 2 weeks or less. On XX/XX/XXXX, {$370.00} was fraudulently charged to my husbands debit card, from various out of state venues, the bulk being XXXX XXXX in Tennessee. My husband and I have never been to Tennessee and haven't even been to the movies in a few years.I called Chase immediately and reported the charges. While speaking with the agent she entered all of the charges and then asked if I was sure that was all. I said maybe I should look back further and she encouraged me to do so. I found a few minor charges from a company that I did not recognize of less than {$8.00} each that were from XXXX and the rep said she would add those even though I said at the time that I wasnt even sure about them. I have never filed a claim for fraudulent charges and thought that if they were real charges they would just be ignored. They were such a minor amount that I had thought they were a minor purchase my husband had made and there was no fraudulent activity anytime soon after that that would have led me to investigate further. 

The money was credited back to my account but a few days later they were all debited again. Not only was the total of {$370.00} charged again, but additional charges of {$110.00} - again, mostly from XXXX XXXX in Tennessee were added as well. These had posted a few days AFTER I had reported my husbands card as compromised. I immediately called Chase and was told that because those 2 charges of less than {$8.00} were included, that ALL the charges were reinstated due to the fact those 2 minor charges were over 60 days old. I asked if I could just refile the current charges and I was told no. In addition, I was told that the charges that posted a few days AFTER I reported the fraud were my responsibility as well. I explained the circumstances that I have previously explained in this letter but was told it is policy. I worked my way up the chain, and was told time and again that it was policy and it sounded as though the agents were reading from a script as they said exactly the same lines over and over. I went to my local branch and they were very nice, and also seemed surprised at the circumstances but after calling the main claims department on my behalf were again told it was policy. 

I then filed a claim with the XXXX, and received a call from a Chase employee who was trying to help me resolve this issue. Although she was very nice and I believe she was genuinely trying to help, I was still told that the claims department said this was once again, their policy and Chase would not reconsider my case. I shared with her that this was my husbands debit card and that he was on XXXX and suffering from a currently incurable form of XXXX and neither of us might be as on top of minor charges as a result of the ongoing stress that this entails. She advised that I call the claims department again and let them know because there are exceptions for medical issues. I called Chase on XX/XX/XXXX, and spoke to a few different people explaining my husbands medical condition as I hadnt realized that there might be an exception. They reopened the case after I provided medical documentation regarding his condition but a representative subsequently left a voicemail saying, .. just because he is ill doesnt mean that we will make an exception. 

I sent another letter on XX/XX/XXXX, letting them know that the early minor charges I had though MIGHT be false turned out to be legitimate and I thought they would have investigated and found this to be the case as well, but I heard nothing back from them. This alone delegitimizes their excuse for not reimbursing me, not to mention all the other circumstances involved in this case, but again, no response. 

I will be glad to forward all correspondence and voicemails upon request. It is my belief that Chase has engaged in unfair practices for a number of reasons that have been described in this letter and I am hopeful that the Consumer Finance Protection Board can help me to receive fair treatment as well as helping to prevent this type of thing from happening to others in the future. Thank you for your consideration."
49,"I filed an complaint with there fraud department due to an incident where the was an overdraft on my checking and savings accounts. The bank never notified me, I went into the branch the next XXXX  and spoke with someone over the phone and they took my information but blame me for the overdraft. This incident took place around XXXX or XXXX of XXXX."
50,"I just bought my first home. I made it very clear to the lender that I was not going to pay points. As a matter of fact, I sent this email to him when he sent me an estimate after I told him that. 
"" I thought you said there was no origination fee? But on this form it says origination charges 1.776 % of loan amount and then it says ( points ). That's very high. Can you please clarify? Are there points or not on this loan? And if this is not an origination fee, why does it say it is? I do not want to pay points and why is this fee there. I understand this can be negotiated and I'd feel much better if this fee was not here or it were a lower rate. The payment keeps going up and up and up. I feel like I'm paying a high interest rate already and now an origination fee? Most origination are XXXX5 to 1 %, this is almost 2 %. '' And he said this ... ... There is no free interest rates in todays crazy market & that is not a choice of mine. The Federal government dictates the cost of interest rates. Rate costs are essentially mandatory right now because investors know that people will be refinancing in the very near future & if they did not get up front money for their investment, they would lose XXXX of dollars. '' I told him over and over no points. He made it out to say that they were not points but that he had to "" buy '' the loan. At closing, again, he said they were not points but he had to put them in that spot. 
I am a 100 % XXXX veteran and have never bought a home before. I had a lot of questions and he made a lot of promises and then double talked them. I have XXXX and a XXXX XXXX, am on a lot of meds and feel like he took advantage of this. After the closing, he never contacted me again and sold my loan within a week. He would not answer my questions and would not assist me with things he said he would. He promised that the loan rate would go down in XXXX and that we would refinance. He lied and lied and I feel really XXXX  but I was afraid to lose the house as the person who sold it had to take an offer asap. 
In addition to the loan issues, he inappropriately ( he was married and so was she ) and aggressively pursued my female real estate agent ( and friend ) and told her lies about the loan too. She was a novice. On more than one occasion, she asked me to stay with her so she would not have to be alone with him. 
The bottom line is that I can not find anyone to help me with a solid answer as to how it is okay to lie and misrepresent loan fees and points, especially to a XXXX veteran. He also added all the closing costs to my loan after telling me that I was not going to pay any closing costs. The name of the company is Supreme Lending ( Everett Financial ) and the individual who did this is XXXX XXXX."
51,"The XXXX XXXX XXXX XXXX located in XXXX XXXX, is a Foreign Government Mission, the XXXX contracted services with Clover XXXX and the First Data XXXX 

This company Clover XXXX, has been charging the monthly fee since XX/XX/2022 into a wrong account, we have been in touch with our First Data representative, and they just rolling us from department to department. 

It has been already more than 6 months requesting to our account to be fix, and until now they don't respond to our inquiries anymore and we haven't been able to reach any customer presentative with the credentials to fix this situation, this has been escalated to our First Data representatives and until todays no one has done much to help. 

The Clover  Customer service is unreachable and when finally, we get someone over the phone they just keep rolling over departments. 

Our Service address is XXXX XXXX XXXX, XXXX XXXX CA XXXX. ( XXXX ) XXXX."
52,I was a senior in 2018 living in XXXX Texas. On my Credit there is a {$1200.00} debt for a security system in 2018 in XXXX Texas I believe. I am not sure who used my information and put their system in my name but I would like it off of my credit and corrected. Thanks
53,"I've sent two cease and desist letters certified mail to Citi Bank and both have been ignored. I receive repeated phone calls every day, I receive phone calls at work, and they have even contacted my family members despite both my letters specifically stating they do not have my permission to contact my phone number, my family members, and that my workplace does not allow these types of calls."
54,There's a debt collection of {$980.00} from a collection agency called UNITED REVENUE CORP. After contacting them several times to inform them it was fraudulent activity they couldn't help and kept sending me to the original creditor : XXXX  XXXX XXXX but no one is available to answer the phone or to guide me to the right department to inform them about this fraudulent activity.
55,im being charge a fee og XXXX every month even though ive used my card properly
56,XXXX XXXX XXXX XXXX XXXX  sent a debt to awa collections or the collection agency awa bought a charged off debt. not sure which one. I disputed it in XXXX of XXXX sent documentation to support my case to awa and it was closed. Received a letter in XXXX XXXX for same debt from awa collection and called immediatly to dispute again. The person handling my case since XXXX of XXXX named XXXX said she would take care of it. The debt showed up on my credit report in XXXX as I needed to buy a car and my credit rating went from XXXX to XXXX because this debt that I did not owe and already proved in XXXX of XXXX was reported to XXXX on XX/XX/XXXX by awa collections. I wa sturneddown for loans or offered a loan with very high interest rates making the payments to high for my budget. I went back and forth between awa XXXX and XXXX for the next couple months. I asked XXXX in several phone callls how they validated the debt she said they were waiting to hear from the original creditor and continued to report as a valid debt. it wasnt until I sent a certified letter asking for verification and validation that they took it off no explaination and said they didnt need to send me the information I asked for. It is to late my credit score is ruined and it is directly the fault of awa collection mainly XXXX that handled my case. I had to use cash advance from my credit card to buy a car so now the balances are high and I have numerous inquires on my credit report I am moving in a month and my credit score is only at XXXX which is far from XXXX which I worked hard to get and maintain until AWA decided to ruin my life.
57,"XXXX XXXX Citibank closed my account with no legitimate reasoning. Nevertheless, they placed a blocked on me being able to recover my funds in my account in the amount of $ XXXXAs of now the account is still closed and they have not given me my money they told me over the phone that I could go to the bank to recover my account funds. Got to the bank for the banker to say that I wasn't allowed to recover my own money without reasoning and that I had to wait on a letter and 60 days. XXXX XXXX I received the letter in which the letter states that I am able to in fact recover my money from a branch yet I still am unable to receive my funds."
58,Provide a wet signature and original copy of the agreement. Provide proofs that you are Licensed to collect debt for theState of Washington. Provide all receipts of payments and letters for missed payments.
59,"- XX/XX/22 - Opened a new checking account using a Promo that required to deposit and mantain a minimum balance of {$75000.00} for 60 days to receive a {$1000.00} bonus - XX/XX/22 - Transferred a total of {$75000.00} to the citi checking account from XXXX - early XXXX - Reached out to Citi to inquire on bonus status. They said I need to send them a completed W-9 form. I send the requested forms to Citi XXXX XXXX - early XXXX - Reached out to Citi, they confirmed received of W-9 form. Said to wait another week - mid XXXX - Reached to Citi again, created a ticket ( XXXX ) to follow up on the bonus status. Said it went to management level and they have to approve/complete - late XXXX - Citi says they still waiting on management to approve - XXXX - Still same status. Nothing CS can do to expedite the process"
60,"In XXXX of XXXX, 12 separate charges adding up to {$240.00} dollars appeared on my XXXX XXXX XXXX debit card from an online gambling company called "" XXXX XXXX. '' As I do not have ( and have never had ) an account with XXXX XXXX, XXXX XXXX immediately determined that these charges were the result of fraud and removed them from my account. However, XXXX XXXX turned the charges over to a collection agency, TRS Recovery Services, which began attempts to collect the debt. 

In XX/XX/XXXX, Upon receiving communication from TRS Recovery that they were attempting to collect on this {$240.00} debt, I responded in writing informing them that this was not my debt. I will upload and attach that letter ( File "" TRS Recovery Letter XX/XX/XXXX '' ) Now in XX/XX/XXXX, TRS Recovery has ignored my written letter from XXXX and is now continuing the debt collection process with a series of 12 separate "" second request '' collection letters adding up to the same {$240.00} figure. It seems that my written letter indicating the debt was not mine has simply been ignored."
61,"In accordance with the Fair Credit Report Act XXXX  Account : XXXX Amount Collect : {$710.00} from Creditor : XXXX XXXX XXXXXXXX XXXX has violated my rights.

15 U.S.C 1681 Section 602 A, States I have the right to privacy.

15 U.S.C 1681 Section 604 A, Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions."
62,"National Credit Systems , Inc is attempting to collect a debt that has already been paid off AND is sending letters to my child under XXXX. 

I have attempted to reach out to the apartment complex where the debt originated and asked them to confirm any other balances due but I have not received communication. I left them another voicemail today XX/XX/23 asking them for the same thing. 

I do not know why they referred the debt over to national credit systems Inc with my daughter 's name if she is under XXXX... 

Respectfully, XXXX XXXX XXXX"
63,"I want my credit report to be accurate and by law you need to remove accounts that are inaccurate, incomplete. This is not a request for verification or proof of my mailing address, but a request for validation made pursuant to the Fair Debt Collection Practices Act, 15 USC 1692g. I request your offices provide me with competent evidence that I have any legal obligation to pay you.

15 U.S. Code 1692g - Validation of debts ( a ) Notice of debt ; contents Within five days after the initial communication with a consumer in connection with the collection of any debt, a debt collector shall, unless the following information is contained in the initial communication or the consumer has paid the debt, send the consumer a written notice containing -- ( 1 ) the amount of the debt ; ( 2 ) the name of the creditor to whom the debt is owed ; ( 3 ) a statement that unless the consumer, within thirty days after receipt of the notice, disputes the validity of the debt, or any portion thereof, the debt will be assumed to be valid by the debt collector ; ( 4 ) a statement that if the consumer notifies the debt collector in writing within the thirty-day period that the debt, or any portion thereof, is disputed, the debt collector will obtain verification of the debt or a copy of a judgment against the consumer and a copy of such verification or judgment will be mailed to the consumer by the debt collector ; and ( 5 ) a statement that, upon the consumer 's written request within the thirty-day period, the debt collector will provide the consumer with the name and address of the original creditor, if different from the current creditor.

( b ) Disputed debts If the consumer notifies the debt collector in writing within the thirty-day period described in subsection ( a ) of this section that the debt, or any portion thereof, is disputed, or that the consumer requests the name and address of the original creditor, the debt collector shall cease collection of the debt, or any disputed portion thereof, until the debt collector obtains verification of the debt or a copy of a judgment, or the name and address of the original creditor, and a copy of such verification or judgment, or name and address of the original creditor, is mailed to the consumer by the debt collector. Collection activities and communications that do not otherwise violate this subchapter may continue during the 30-day period referred to in subsection ( a ) unless the consumer has notified the debt collector in writing that the debt, or any portion of the debt, is disputed or that the consumer requests the name and address of the original creditor. Any collection activities and communication during the 30-day period may not overshadow or be inconsistent with the disclosure of the consumers right to dispute the debt or request the name and address of the original creditor.

Be advised this is not a refusal to pay, but a notice sent pursuant to the Fair Debt Collection Practices Act, 15 USC 1692g stating your claim is disputed and validation is required. 


Henceforth, I will also inform you that you have reported invalidated information to any of the XXXX major credit bureaus ( XXXX, XXXX or XXXX ), this may constitute Fraud under both Federal and State Laws. So, if any negative mark is found on any of my credit report by your company or the company that you represent, I will not hesitate in bringing legal action against you for the following : Violation of the Fair Credit Reporting Act, Violation of the Fair Debt Collection Practices Act, and Defamation of Character.

If your offices can deliver all proper documentation as required in the following Declaration, I will require at least 30 days to investigate this information, during which time all collection activity must cease and desist. Also, during this validation period, I will consult with my Legal counsel for suit. This will include any listing of any information to a credit reporting repository that could be invalidated. 


In case of any failure to respond to this validation request within 30 days from the date of your receipt, all references to this account must be deleted and completely removed from my credit file and a copy of such deletion request shall be sent to me immediately Sincerely,"
64,I did not authorize the repossession to be reported to my XXXX XXXX
65,I had a few returned payments from auto-pay due to the payment not being taken out within three business days. I contacted XXXX XXXX to reinstate the account after making a hefty payment of {$200.00} ( out of {$300.00} ). They declined. I now have a closed account on my credit history and would like this removed.
66,"During the purchase of a home I was initially quoted in writing from the loan officer ( XXXX XXXX ) at DHI a loan estimate which has changed several times now. Each time the numbers changed and did not make sense to me. I consulted with the Mortgage processor XXXX, who is the person in charge of my file and is responsible for gathering all the final documents for the underwriters review. I asked her if she could perhaps explain the substantially large increase on my file in XXXX 's absence as XXXX told me I can go to XXXX while she is out of the office for any questions. XXXX also was confused about the increase on the loan estimate dated XX/XX/2023. The only extra charge she understood and was able to explain was an extra {$500.00} dollars that I am being charged extra because the property I am trying to purchase appraised lower than expected and I have to pay the difference. XXXX said she would let XXXX 's boss XXXX XXXX XXXX know about the situation and she would get back to me regarding all other extra charges. When I spoke with XXXX and I questioned an additional {$8800.00} XXXX payment charge appearing on my loan estimate she could not give me an answer and said she would have to get back with me. I then asked for help from my realtor XXXX, he and I asked to speak with the Loan officer manageXXXX ( XXXX ) once again and while on a conference call on XX/XX/2023 she admitted that her loan officer ( XXXX XXXX ) had made several mistakes on my loan estimate. These mistakes include Property taxes errors for improved land versus unimproved land. This large sum difference was added to my down payment line item. When I asked XXXX about the additional XXXX she said this was a glitch in their system. I asked her why if she knew about the glitch, why it was not fixed and she could not answer. She seemed puzzled with my question. At this point I felt that I am deliberately being confused by this Representative. It feels like a bait and switch scheme when she talks about the numbers. I am now extremely concerned because I was expecting to close on the home on XX/XX/2023 and with that in mind I paid down payments on movers and made many arrangements to move. All of this insecurity has me very nervous and can cause me to lose a lot of money as I am purchasing this new home to accommodate my XXXX mom that lives with me and as I explained to the loan officer originally I need this home as it is handicap accessible and it will help me assist my moms deeds. As you can imagine the lack of transparency in this process is very concerning to me and I am reaching out for help."
67,I Naver open any account with XXXX supply chain solation I received phone call try to connivance them this is not my account but send debit collocation and my personal and business credit is damage..
68,"Hello, At Approximately XXXX XXXX EST. XX/XX/2023 I had an inbound call from the Law Office of Robert A. Schuerger Co., LPA, in regards to a debt I owe for student loans, in the amount of {$920.00}. 

I work Monday through Friday XXXX, so I couldn't answer the call, he did not leave a voicemail, but instead decided to call my younger sister, XXXX XXXX XXXX who was also working. She is not listed anywhere as a guardian, or emergency contact. 

She answered the call, and described the call as aggressive, and that he was an attorney trying to reach me, he mentioned the University XXXX XXXX, and that he was asking for my employer, and where I lived. This caused her to call me, she was very distressed, and said that he was being very aggressive, and it made her worried that I was in some legal trouble of some sort. Now I can hardly focus at work on a busy Monday morning. 

I called and made a complaint, and informed them I was filing this complaint to you as I believe that this was a violation of CFPBs Debt Collection Rule. 

XXXX XXXX XXXX Man who called Law Office of Robert A. Schuerger Co., LPA, XXXX XXXX XXXX XXXX, OH XXXX XXXX Thanks, XXXX XXXX"
69,"I received a call from a company called XXXX, phone number : XXXX on XX/XX/23 regarding a debt from XXXX XXXX. I went to XXXX XXXX website and confirmed that th debt was valid and paid it that same day. I called first point back and got to the same lady who called me. I made her aware that the payment was made and provided her with her reference number. Today, XX/XX/23. I received another call from her asking me to pay again. I called XXXX XXXX and confirmed that there was no current balance owed. I called her back and made her aware. A gentleman picked up the phone before and was very rude and combative. He transferred me over to her. I asked her to remove me from their list and to confirm with XXXX XXXX. She stated that she would remove me, but if the balance is not paid.. I reminded her that it was up to her company to validate the debt before calling me back and that I would take legal action should I be negatively impacted for a debt that is already paid. 

I am reporting this because I do not have any confidence that this company will do their due diligence ve to validate the debt."
70,"lincoln fs threaten me says im in boiling hot water, this could mean something, and other words they say. they did not give me credit for my payment. im not doing very well, i was XXXX  also there collection department kept calling all day long after XXXX XXXX mon thru friday. my state rights where violated. lincoln will defend there people, i would not say this if its not true. also im not a liar."
71,"XXXX XXXX  sent me an offer for 0 % interest rate for balance transfers. So I opened an account on the offer code sent to me via mail. I once account was open I used the balance transfer of {$10000.00} from my Bank America account to XXXX account. That was XX/XX/XXXX, that the balance transfer was confirmed by XXXX. Weeks go by Bank of America reflects no reduction of the transfer amount of {$10000.00}. I call XXXX and they stated they sent the funds to Bank of America. XXXX instructs me to call Bank of America as the issue is on their side. I call and Bank of America says no they did not receive the funds to call XXXX. Call XXXX back and told the funds are sent and will hit my Bank of America account in a day or two. I wait a week nothing. I called both banks several times including XX/XX/XXXX when Bank of America agent states they see the {$10000.00} funds disputed and unsure why and what. But then not shown in transactions. She was confused and sent me to the transfer department directly. Transfer department says no nothing there and no dispute to go to XXXX bank. Got nowhere with either bank then. Called again a day later and told by XXXX to verify the account I do so and mention it was several times. Person at XXXX says the issue is the wrong account info given. Total lie but ok as it was verified several times prior in phone calls to XXXX. I call on XX/XX/XXXX to both banks and get nowhere. I am told by XXXX here is the tracer number bank America can look it up and XXXX sees it and verify funds went to BOA. Tracer # XXXX. I was asked XXXX XXXX  for a confirmation of funds transferred and was told it will take 24-48 hours for that department to send me the record receipt of funds transferred. After asking twice for that confirmation on XX/XX/XXXX I got an email from XXXX that stated transfer was successful but dated XX/XX/XXXX. Having that tracer number and my customer ID XXXX. I call the banks both again and told by Bank of America they opened a dispute case on this and I would hear back regarding this situation. I have not and it is nearing a month now. I have been stuck in limbo since XX/XX/XXXX showing a credit card debit doubled what it is. My credit score fell XXXX points due to all this. I am in the process of purchasing a motorcycle and this has directly impacted me and me monetarily at this point. Neither bank will help and both tell me to go to the other bank."
72,"Requested validation of debt. I am requesting that a statement that the communication is from a debt collector, your name and mailing information, along with the name and mailing information of the debt collector, the name of the creditor whom states I owe the debt to the account number associated with the debt, an itemization of the current amount of the debt that reflects interest, fees, payments, and credits since a particular date, the current amount of the debt when the notice is provided, Information I can use to reply to the debt collector, such as if you believe the debt is not yours or if the amount is wrong. Also I would like to see a contract between you and the creditor stating that you have a right to collect this reported debt."
73,"On XX/XX/2023, I filed CFPB complaint # XXXX, in which I alleged retaliation against me by Capital One for my raising concerns and allegations of unfair, deceptive and abusive practices related to graduating my secured Platinum to an unsecured credit card. I also filed this same complaint with the Office of the Comptroller of the Currency on XX/XX/XXXX. In this complaint, I also expressed concerns and made allegations of abuse and retaliation against me by their agents, XXXX ( Capital One employee ID # XXXX ) and XXXX. ( Capital One employee ID # XXXX ). On XX/XX/XXXX, I received a call from XXXX, Principal Complaints Coordinator at Capital One ( Capital One employee ID # XXXX ), who called me at XXXX XXXX. PST on a recorded line, when I was living in XXXX -- and also the address listed on my account -- and on Pacific Standard Time. I have attached the XXXX call logs from my phone number, showing that XXXX XXXX XXXX to me at XXXX XXXX  was illegally made outside the hours at which a financial institution may not call me before XXXX XXXX. local time to the address on the account. As noted, and as was said on the recorded call, XXXX violated the law and called me at XXXX XXXX. local time from an XXXX area code. I informed XXXX of this violation on the call. On this call with XXXX, we discussed the behavior from agents XXXX ( Capital One employee ID # XXXX ) and XXXX. ( Capital One employee ID # XXXX ), and I alleged retaliation by Capital One for restricting my accounts on XX/XX/XXXX, after only a week prior to this, I had filed a complaints alleging unfair, deceptive, abusive and unlawful practices with my Capital One Platinum secured credit card. I also expressed concerns that XXXX had told lies on my call with her and she made a threat of retaliation to re-restrict my accounts after I became frustrated and dissatisfied with her behavior. XXXX then read to me the transcripts of the calls with XXXX and XXXX, and he agreed that the call from XXXX could have been handled better. Regarding the call with XXXX, he agreed that she did, in fact, lie on that call -- she said I called her XXXX XXXX ' but as XXXX read the call transcript to me, he said on multiple occasions that I did not say that at all. Instead, as XXXX read back to me, I asked of myself : "" How XXXX do you think I am? '' XXXX agreed to forward both of these calls, along with his findings and the call transcripts, to the next level above him : Capital One 's XXXX XXXX XXXX. XXXX stated that he believed that particularly my call with XXXX warranted an internal review for the way I was treated. I asked XXXX, still on the recorded line, if I had done anything abusive or anything that warranted Capital One closing my accounts for my conduct, and he assured me -- on the recorded call -- that no, I was not abusive toward any of the agents. Also on this recorded call, XXXX told me that Capital One policy is that if a customer is abusive or uses foul language, company policy is to send a warning letter to the customer prior to any credit revocation or fore-closing of accounts. I have received no such thing. On the morning of XX/XX/XXXX, I learned, by way of looking at XXXX XXXX that my Capital One accounts had been closed. Capital One intentionally, knowingly and falsely reported that all three credit card accounts were closed on XX/XX/2023. This date of closure is knowingly, intentionally and deliberately false and inaccurate ; Capital One, again, reported this false data in retaliation for my continued, legitimate complaints against them, their business practices and their agents ' conduct. I have attached a screen shot of the information showing the accounts were falsely and inaccurately reported as closed on XX/XX/XXXX. I have also included the most recent credit card statement for my XXXX XXXX account ending in XXXX, which very clearly shows that charges were made on, and posted to, the account on and after XX/XX/XXXX, when Capital One alleges the accounts were closed. Also on XX/XX/XXXX, I spoke to a Capital One representative, a Fraud and Disputes Supervisor named XXXX ( Capital One employee ID # XXXX ), who refused to verbally tell me why my accounts were closed ; he told me it was against company policy to tell me that information and that I had to wait for a letter in the main. Again, I expressed to XXXX my assertion that Capital One was retaliating against me. XXXX never once acknowledged this or took action when he was told, many times on the call, that I believe Capital One is engaging in business practices that violate the law and my rights as a consumer. I then called back and spoke to XXXX ( Capital One employee ID # XXXX ) a supervisor in the Escalations Department. XXXX verbally shared with me that all my Capital One credit card accounts were closed due to my abusive behavior on a call that took place on XX/XX/XXXX. I advised XXXX that the only call I had to or from Capital One that day was from XXXX, the Principal Complaints Coordinator who is mentioned in this complaint. I asked XXXX if it was possible that there was a mix-up between XXXX filing a complaint on my behalf for the threatening and abusive call I had with XXXX on XX/XX/XXXX. XXXX agreed to look into it and placed me on hold. When she returned to the call, she was unable to tell me the exact details of the allegedly abusive call that Capital One claims occurred that triggered the force-closing of all my accounts When I pressed XXXX for more detail, again alleging that Capital One is engaging in illegal business practices and retaliation, she refused to answer any more of my questions and began threatening to disconnect the call. When I told XXXX I had more questions, she refused to address them and once again, on a recorded line, threatened to disconnect the call -- and she did for no valid reason. I have a mountain of evidence to substantiate my claims, concerns, assertions and allegations that Capital One has abused me, treated me unfairly, deliberately stated lies on recorded phone calls, broken their company policies -- particularly the policy that XXXX quoted to me on receiving warning letters prior to force-closing accounts if Capital One alleges abusive behavior by a customer, recorded threats of retaliation by XXXX, falsifying data that has already been reported to the credit bureaus, and retaliating against me by closing all my accounts because I blew the whistle and spoke up about the illegal, threatening, retaliatory actions and behavior exhibited by Capital One and its employees. I am fully prepared to take this case before a court of law if Capital One does not wish to resolve this amicably and with a mutually agreeable resolution -- and the evidence I have amassed more than substantiates my claims. Capital One has also caused harm to my credit score and credit file, and I have suffered credit and financial losses as a direct result of Capital One force-closing my accounts. I am also concerned and worried that Capital One has collected my sensitive, private and confidential information, including bank statements with full account numbers, when I was asked to provide them all this info and data on XX/XX/XXXX. It's worth noting that any time I file any type of complaint against Capital One -- whether internally or with regulatory bodies -- my accounts immediately and suspiciously become restricted and labeled as "" fraud, '' yet Capital One never once substantiates their claims of fraud. I believe that Capital One is intentionally and knowingly attempting to intimidate and silence me -- and possibly other customers -- from coming forward with legitimate complaints and allegations, by making any rectifying difficult, cumbersome and impossible. Again, I am fully willing and prepared to bring suit against Capital One in a court of law if we can not reach a mutually agreeable solution to my issues. In summary, Capital One is brazenly attempting to steamroll and bulldoze customers who they believe won't fight back, and I am not the type of person ; I will pursue this to the fullest extent of the law and seek all civil, criminal and other penalties for the financial and emotional harm Capital One has inflicted upon me."
